source_id,target_id,freq,avg_conf,npmi,lr_log,slope_log1p,weight_final,final_score,status,first_year,last_year,is_emerging,action_match,type
1136,2058,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2021,2021,False,1,TECH_FUNC
1361,1712,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2015,2015,False,1,TECH_FUNC
1407,5997,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2025,2025,False,1,TECH_FUNC
2314,9809,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5152425852248796,suppressed,2015,2015,False,1,TECH_FUNC
2416,421,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5152425852248796,suppressed,2023,2023,False,1,TECH_FUNC
3057,12879,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5152425852248796,suppressed,2023,2023,False,1,TECH_FUNC
3059,12862,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5152425852248796,suppressed,2023,2023,False,1,TECH_FUNC
3120,13782,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5152425852248796,suppressed,2016,2016,False,1,TECH_FUNC
2714,13356,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5152425852248796,suppressed,2020,2020,False,1,TECH_FUNC
2796,11579,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5152425852248796,suppressed,2014,2014,False,1,TECH_FUNC
3080,8754,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2025,2025,False,1,TECH_FUNC
3220,12422,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2024,2024,False,1,TECH_FUNC
3148,13256,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2023,2023,False,1,TECH_FUNC
2581,1539,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2018,2018,False,1,TECH_FUNC
2632,10987,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2017,2017,False,1,TECH_FUNC
631,11872,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2016,2016,False,1,TECH_FUNC
735,11850,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2022,2022,False,1,TECH_FUNC
565,1789,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2017,2017,False,1,TECH_FUNC
817,4619,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2015,2015,False,1,TECH_FUNC
613,4,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2021,2021,False,1,TECH_FUNC
567,2891,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2022,2022,False,1,TECH_FUNC
574,2934,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2023,2023,False,1,TECH_FUNC
769,2675,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2021,2021,False,1,TECH_FUNC
740,2715,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2022,2022,False,1,TECH_FUNC
1481,6788,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2017,2017,False,1,TECH_FUNC
1414,701,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5151074500897445,suppressed,2025,2025,False,1,TECH_FUNC
2360,9913,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2023,2023,False,1,TECH_FUNC
2197,9322,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2023,2023,False,1,TECH_FUNC
2409,9521,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2016,2016,False,1,TECH_FUNC
2178,465,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2014,2014,False,1,TECH_FUNC
1983,8148,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2025,2025,False,1,TECH_FUNC
1890,7879,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2020,2020,False,1,TECH_FUNC
2027,8938,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2018,2018,False,1,TECH_FUNC
2638,8558,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2024,2024,False,1,TECH_FUNC
2969,121,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2017,2017,False,1,TECH_FUNC
3237,2298,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2021,2021,False,1,TECH_FUNC
3248,13512,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2020,2020,False,1,TECH_FUNC
3110,13690,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2025,2025,False,1,TECH_FUNC
2694,1483,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2023,2023,False,1,TECH_FUNC
2701,11203,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2023,2023,False,1,TECH_FUNC
2702,11228,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2023,2023,False,1,TECH_FUNC
2575,11501,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2014,2014,False,1,TECH_FUNC
2733,12319,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2020,2020,False,1,TECH_FUNC
2783,11710,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2018,2018,False,1,TECH_FUNC
596,3684,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2020,2020,False,1,TECH_FUNC
781,3337,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2012,2012,False,1,TECH_FUNC
775,1655,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2023,2023,False,1,TECH_FUNC
785,4356,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2025,2025,False,1,TECH_FUNC
1021,4509,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2016,2016,False,1,TECH_FUNC
1053,4063,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2014,2014,False,1,TECH_FUNC
1056,2417,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2014,2014,False,1,TECH_FUNC
624,3011,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2021,2021,False,1,TECH_FUNC
612,1172,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2021,2021,False,1,TECH_FUNC
609,2987,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2021,2021,False,1,TECH_FUNC
606,2986,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2021,2021,False,1,TECH_FUNC
1581,6724,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2019,2019,False,1,TECH_FUNC
1473,1830,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2017,2017,False,1,TECH_FUNC
1474,93,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5148371798194742,suppressed,2017,2017,False,1,TECH_FUNC
